Time Stamp,Energy Output (kWh),Global Horizontal Irradiance GHI,Direct Normal Irradiance Dni,Diffuse Horizontal Irradiance DHI,Air Temperature,Wind Direction At 3 Meter,Wind Speed At 3 Meter,Relative Humidity,Barometric Pressure,Source,Region
2013-02-01 00:00:00+03:00,1274.33088,5784.0,6730.0,1760.0,18.0,83.0,4.2,26.3,915.1,K.A.CARE City Site Station,Middle
2013-02-01 00:00:00+03:00,1228.94496,5578.0,6021.0,1914.0,19.7,95.0,2.8,25.9,941.1,K.A.CARE Building Olaya St Station,Middle
2013-03-01 00:00:00+03:00,1378.76256,6258.0,4892.0,2843.0,22.0,90.0,4.3,26.0,912.9,K.A.CARE City Site Station,Middle
2013-03-01 00:00:00+03:00,1324.7841600000002,6013.0,4307.0,2951.0,23.9,96.0,3.1,24.5,938.3,K.A.CARE Building Olaya St Station,Middle
2013-04-01 00:00:00+03:00,1425.4704,6470.0,4313.0,3156.0,25.2,104.0,4.6,31.1,910.0,K.A.CARE City Site Station,Middle
2013-04-01 00:00:00+03:00,1374.3561599999998,6238.0,3928.0,3191.0,27.5,137.0,3.2,29.0,934.8,K.A.CARE Building Olaya St Station,Middle
2013-05-01 00:00:00+03:00,1547.748,7025.0,3944.0,3823.0,32.1,19.0,3.0,22.3,934.1,K.A.CARE Building Olaya St Station,Middle
2013-05-01 00:00:00+03:00,1605.25152,7286.0,4373.0,3771.0,29.7,43.0,3.9,24.1,909.8,K.A.CARE City Site Station,Middle
2013-06-01 00:00:00+03:00,1761.4584,7995.0,6356.0,3014.0,33.8,0.0,4.4,9.4,906.2,K.A.CARE City Site Station,Middle
2013-06-01 00:00:00+03:00,1716.95376,7793.0,5724.0,3254.0,36.0,326.0,3.4,9.3,929.9,K.A.CARE Building Olaya St Station,Middle
2013-07-01 00:00:00+03:00,1653.94224,7507.0,5798.0,2991.0,38.5,336.0,3.5,9.3,927.2,K.A.CARE Building Olaya St Station,Middle
2013-07-01 00:00:00+03:00,1594.23552,7236.0,4288.0,3772.0,38.4,22.0,2.7,10.7,938.5,Al Aflaaj Technical Institute Station,Middle
2013-07-01 00:00:00+03:00,1696.90464,7702.0,6180.0,2919.0,36.4,7.0,4.2,9.2,903.8,K.A.CARE City Site Station,Middle
2013-08-01 00:00:00+03:00,1561.1875199999995,7086.0,5753.0,2705.0,36.2,348.0,2.4,13.1,950.9,Prince Sattam bin Abdulaziz University Station,Middle
2013-08-01 00:00:00+03:00,1601.06544,7267.0,5732.0,2824.0,37.1,25.0,2.6,12.8,940.6,Al Aflaaj Technical Institute Station,Middle
2013-08-01 00:00:00+03:00,1644.46848,7464.0,6563.0,2543.0,35.0,4.0,3.1,11.4,924.7,Majmaah University Station,Middle
2013-08-01 00:00:00+03:00,1623.0974400000002,7367.0,6510.0,2458.0,35.5,34.0,3.8,10.4,905.6,K.A.CARE City Site Station,Middle
2013-08-01 00:00:00+03:00,1644.0278399999995,7462.0,6518.0,2545.0,35.8,26.0,1.9,10.9,917.0, Shaqra University ,Middle
2013-08-01 00:00:00+03:00,1602.3873600000002,7273.0,6240.0,2533.0,37.7,5.0,3.0,10.4,929.3,K.A.CARE Building Olaya St Station,Middle
2013-09-01 00:00:00+03:00,1458.9590399999995,6622.0,6331.0,2160.0,31.7,47.0,2.7,13.7,928.9,Majmaah University Station,Middle
2013-09-01 00:00:00+03:00,1450.5868799999998,6584.0,5970.0,2318.0,35.2,16.0,2.7,13.0,933.6,K.A.CARE Building Olaya St Station,Middle
2013-09-01 00:00:00+03:00,1461.16224,6632.0,6218.0,2225.0,32.9,46.0,3.5,13.0,909.5,K.A.CARE City Site Station,Middle
2013-09-01 00:00:00+03:00,1430.31744,6492.0,5879.0,2259.0,33.0,346.0,2.0,15.6,955.6,Prince Sattam bin Abdulaziz University Station,Middle
2013-09-01 00:00:00+03:00,1497.9556800000005,6799.0,6463.0,2237.0,32.9,62.0,1.8,12.9,921.0, Shaqra University ,Middle
2013-09-01 00:00:00+03:00,1519.98768,6899.0,6242.0,2326.0,34.4,36.0,2.3,14.5,945.2,Al Aflaaj Technical Institute Station,Middle
