Time Stamp,Energy Output (kWh),Global Horizontal Irradiance GHI,Direct Normal Irradiance Dni,Diffuse Horizontal Irradiance DHI,Air Temperature,Wind Direction At 3 Meter,Wind Speed At 3 Meter,Relative Humidity,Barometric Pressure,Source,Region
2013-08-01 00:00:00+03:00,1679.27904,7622.0,8962.0,1313.0,31.3,15.0,6.4,47.0,978.8,Saline Water Conversion Corporation (Hagl) Station,North
2013-08-01 00:00:00+03:00,1642.26528,7454.0,8479.0,1450.0,31.7,263.0,2.1,56.1,1001.3,Duba Technical Institute Station,North
2013-08-01 00:00:00+03:00,1701.75168,7724.0,8545.0,1608.0,32.7,319.0,2.4,19.3,912.9,Timaa Technical Institute,North
2013-09-01 00:00:00+03:00,1449.92592,6581.0,7870.0,1368.0,29.5,15.0,7.4,51.7,1006.5,Saline Water Conversion Corporation (Hagl) Station,North
2013-09-01 00:00:00+03:00,1503.90432,6826.0,7798.0,1586.0,30.4,335.0,2.0,20.3,916.3,Timaa Technical Institute,North
2013-09-01 00:00:00+03:00,1455.2135999999998,6605.0,7584.0,1501.0,31.2,293.0,2.5,50.6,1004.2,Duba Technical Institute Station,North
2013-10-01 00:00:00+03:00,1196.99856,5433.0,7317.0,1171.0,25.9,20.0,7.7,47.3,1009.9,Saline Water Conversion Corporation (Hagl) Station,North
2013-10-01 00:00:00+03:00,1247.6721599999998,5663.0,7772.0,1077.0,27.6,300.0,2.2,49.1,1007.8,Duba Technical Institute Station,North
2013-10-01 00:00:00+03:00,1262.21328,5729.0,7370.0,1325.0,24.0,41.0,2.1,24.0,918.7,Timaa Technical Institute,North
2013-11-01 00:00:00+03:00,919.61568,4174.0,5351.0,1386.0,24.2,24.0,5.4,48.9,1010.7,Saline Water Conversion Corporation (Hagl) Station,North
2013-11-01 00:00:00+03:00,979.76304,4447.0,6161.0,1192.0,25.8,319.0,2.1,43.0,1009.3,Duba Technical Institute Station,North
2013-11-01 00:00:00+03:00,964.34064,4377.0,5692.0,1394.0,19.5,108.0,2.0,45.5,919.6,Timaa Technical Institute,North
2013-12-01 00:00:00+03:00,865.4169600000001,3928.0,5542.0,1307.0,13.3,126.0,2.4,41.9,922.4,Timaa Technical Institute,North
2013-12-01 00:00:00+03:00,795.5755199999999,3611.0,5048.0,1205.0,21.1,334.0,2.6,39.2,1013.8,Duba Technical Institute Station,North
2013-12-01 00:00:00+03:00,749.96928,3404.0,4726.0,1217.0,18.3,22.0,6.0,44.0,1015.9,Saline Water Conversion Corporation (Hagl) Station,North
2014-01-01 00:00:00+03:00,864.97632,3926.0,5624.0,1201.0,18.4,29.0,5.8,50.3,1014.6,Saline Water Conversion Corporation (Hagl) Station,North
2014-01-01 00:00:00+03:00,944.73216,4288.0,6519.0,1041.0,21.0,336.0,2.3,42.2,1012.9,Duba Technical Institute Station,North
2014-01-01 00:00:00+03:00,902.87136,4098.0,5800.0,1216.0,13.1,25.0,1.9,52.7,921.5,Timaa Technical Institute,North
2014-02-01 00:00:00+03:00,1215.72576,5518.0,7845.0,1193.0,14.6,61.0,2.3,37.1,920.4,Timaa Technical Institute,North
2014-02-01 00:00:00+03:00,1121.64912,5091.0,7051.0,1206.0,19.3,25.0,6.6,45.5,1013.5,Saline Water Conversion Corporation (Hagl) Station,North
2014-02-01 00:00:00+03:00,1186.4232,5385.0,7639.0,1108.0,22.1,316.0,2.7,38.5,1011.3,Duba Technical Institute Station,North
2014-03-01 00:00:00+03:00,1316.412,5975.0,5730.0,2220.0,19.7,139.0,2.9,35.1,917.9,Timaa Technical Institute,North
