Time Stamp,Energy Output (kWh),Global Horizontal Irradiance GHI,Direct Normal Irradiance Dni,Diffuse Horizontal Irradiance DHI,Air Temperature,Wind Direction At 3 Meter,Wind Speed At 3 Meter,Relative Humidity,Barometric Pressure,Source,Region
2013-09-01 00:00:00+03:00,1533.6475199999998,6961.0,6201.0,2346.0,33.5,51.0,3.6,17.8,925.3,Sharurah Technical Institute,South
2013-10-01 00:00:00+03:00,1450.36656,6583.0,7183.0,1787.0,28.2,52.0,3.3,18.1,929.9,Sharurah Technical Institute,South
2013-11-01 00:00:00+03:00,1263.9758399999998,5737.0,7493.0,1281.0,24.7,68.0,3.8,32.7,931.3,Sharurah Technical Institute,South
2013-12-01 00:00:00+03:00,1208.89584,5487.0,7995.0,1055.0,19.4,60.0,3.4,32.6,934.6,Sharurah Technical Institute,South
2013-12-01 00:00:00+03:00,1145.00304,5197.0,6806.0,1236.0,23.0,41.0,2.2,47.4,895.6,Tuhamat Qahtan Technical Institute,South
2014-01-01 00:00:00+03:00,1218.58992,5531.0,6975.0,1454.0,20.1,61.0,3.9,36.9,933.5,Sharurah Technical Institute,South
2014-01-01 00:00:00+03:00,1127.37744,5117.0,5767.0,1593.0,22.5,51.0,2.0,58.7,895.0,Tuhamat Qahtan Technical Institute,South
2014-01-01 00:00:00+03:00,1196.11728,5429.0,6548.0,1576.0,18.1,82.0,1.9,38.9,885.5,Najran University Station,South
2014-02-01 00:00:00+03:00,1243.48608,5644.0,5564.0,1970.0,23.8,53.0,2.3,50.9,893.3,Tuhamat Qahtan Technical Institute,South
2014-02-01 00:00:00+03:00,1324.1232,6010.0,6157.0,2006.0,21.6,56.0,4.0,29.4,931.2,Sharurah Technical Institute,South
2014-02-01 00:00:00+03:00,1347.2568,6115.0,6418.0,1916.0,19.8,86.0,2.0,32.7,883.5,Najran University Station,South
2014-03-01 00:00:00+03:00,1517.12352,6886.0,5977.0,2583.0,24.8,57.0,2.3,23.6,882.3,Najran University Station,South
2014-03-01 00:00:00+03:00,1411.81056,6408.0,5751.0,2181.0,26.5,60.0,2.3,41.3,892.9,Tuhamat Qahtan Technical Institute,South
2014-03-01 00:00:00+03:00,1525.9363199999998,6926.0,5992.0,2644.0,26.8,67.0,4.3,23.3,929.3,Sharurah Technical Institute,South
2014-04-01 00:00:00+03:00,1705.2768,7740.0,7196.0,2384.0,28.0,84.0,2.2,17.6,882.5,Najran University Station,South
2014-04-01 00:00:00+03:00,1692.49824,7682.0,7228.0,2324.0,30.6,85.0,3.9,18.1,929.0,Sharurah Technical Institute,South
2014-04-01 00:00:00+03:00,1595.7777600000002,7243.0,6338.0,2385.0,29.4,64.0,2.5,35.5,892.8,Tuhamat Qahtan Technical Institute,South
2014-05-01 00:00:00+03:00,1683.4651199999998,7641.0,6030.0,2974.0,30.6,47.0,2.3,17.1,880.7,Najran University Station,South
2014-05-01 00:00:00+03:00,1562.50944,7092.0,5437.0,2788.0,29.9,57.0,2.4,42.5,891.7,Tuhamat Qahtan Technical Institute,South
2014-05-01 00:00:00+03:00,1669.80528,7579.0,6374.0,2717.0,33.7,77.0,3.8,16.6,926.5,Sharurah Technical Institute,South
2014-06-01 00:00:00+03:00,1704.39552,7736.0,5684.0,3308.0,35.3,40.0,3.6,9.8,923.9,Sharurah Technical Institute,South
2014-06-01 00:00:00+03:00,1469.5344,6670.0,4280.0,3239.0,32.4,59.0,2.4,36.2,889.4,Tuhamat Qahtan Technical Institute,South
2014-06-01 00:00:00+03:00,1718.93664,7802.0,5619.0,3405.0,32.6,31.0,2.1,10.4,878.6,Najran University Station,South
2014-07-01 00:00:00+03:00,1601.50608,7269.0,4296.0,3838.0,36.6,349.0,3.5,11.3,922.3,Sharurah Technical Institute,South
2014-07-01 00:00:00+03:00,1547.9683200000002,7026.0,4025.0,3847.0,34.0,353.0,2.5,12.1,877.3,Najran University Station,South
2014-07-01 00:00:00+03:00,1185.10128,5379.0,2101.0,3643.0,31.7,57.0,2.1,41.1,889.3,Tuhamat Qahtan Technical Institute,South
2014-08-01 00:00:00+03:00,1621.1145599999998,7358.0,5532.0,3011.0,33.3,12.0,2.5,14.5,876.9,Najran University Station,South
2014-08-01 00:00:00+03:00,1604.59056,7283.0,5604.0,2904.0,36.1,48.0,3.8,15.6,922.1,Sharurah Technical Institute,South
2014-08-01 00:00:00+03:00,1249.43472,5671.0,2851.0,3367.0,30.4,57.0,2.3,52.4,889.0,Tuhamat Qahtan Technical Institute,South
2014-09-01 00:00:00+03:00,1302.31152,5911.0,4712.0,2384.0,30.2,51.0,2.3,42.5,890.8,Tuhamat Qahtan Technical Institute,South
2014-09-01 00:00:00+03:00,1374.7968,6240.0,4434.0,2762.0,32.7,263.0,3.5,68.0,1004.3,Saline Water Conversion Corporation (Farasan) Station,South
2014-09-01 00:00:00+03:00,1534.5288,6965.0,6383.0,2263.0,33.5,55.0,3.5,17.3,925.3,Sharurah Technical Institute,South
2014-09-01 00:00:00+03:00,1521.0892799999997,6904.0,6048.0,2445.0,30.8,28.0,2.3,15.8,879.7,Najran University Station,South
2014-10-01 00:00:00+03:00,1345.27392,6106.0,6899.0,1460.0,28.1,47.0,2.4,39.7,893.9,Tuhamat Qahtan Technical Institute,South
2014-10-01 00:00:00+03:00,1457.19648,6614.0,7941.0,1376.0,29.3,55.0,3.4,20.4,930.5,Sharurah Technical Institute,South
2014-10-01 00:00:00+03:00,1494.21024,6782.0,8096.0,1428.0,25.9,69.0,1.9,20.1,883.8,Najran University Station,South
2014-10-01 00:00:00+03:00,1313.1072,5960.0,5783.0,1927.0,31.3,218.0,3.1,66.1,1008.3,Saline Water Conversion Corporation (Farasan) Station,South
2014-11-01 00:00:00+03:00,1195.01568,5424.0,6517.0,1377.0,25.4,52.0,2.1,45.3,895.0,Tuhamat Qahtan Technical Institute,South
2014-11-01 00:00:00+03:00,1303.1928,5915.0,7766.0,1232.0,21.9,89.0,1.8,29.7,885.0,Najran University Station,South
2014-11-01 00:00:00+03:00,1290.19392,5856.0,7836.0,1199.0,24.8,59.0,3.5,26.6,932.9,Sharurah Technical Institute,South
2014-11-01 00:00:00+03:00,1068.99264,4852.0,4549.0,2007.0,29.5,172.0,3.4,68.9,1010.1,Saline Water Conversion Corporation (Farasan) Station,South
2014-11-01 00:00:00+03:00,1094.10912,4966.0,4926.0,1841.0,29.4,233.0,3.0,68.1,1011.6,Jazan University Station,South
2014-12-01 00:00:00+03:00,1041.2323199999998,4726.0,4932.0,1777.0,27.1,198.0,3.1,72.7,1013.7,Jazan University Station,South
