Time Stamp,Energy Output (kWh),Global Horizontal Irradiance GHI,Direct Normal Irradiance Dni,Diffuse Horizontal Irradiance DHI,Air Temperature,Wind Direction At 3 Meter,Wind Speed At 3 Meter,Relative Humidity,Barometric Pressure,Source,Region
2013-06-01 00:00:00+03:00,1677.51648,7614.0,6556.0,2607.0,31.0,312.0,2.4,62.6,1001.3,King Abdullah University of Science and Technology Station,West
2013-06-01 00:00:00+03:00,1651.9593599999998,7498.0,6110.0,2784.0,34.7,317.0,3.2,37.2,996.9,King Abdulaziz University Main Campus Station,West
2013-07-01 00:00:00+03:00,1518.66576,6893.0,4820.0,3052.0,34.2,304.0,3.4,49.2,995.0,King Abdulaziz University Main Campus Station,West
2013-07-01 00:00:00+03:00,1547.748,7025.0,5139.0,2947.0,31.6,294.0,2.4,68.4,999.1,King Abdullah University of Science and Technology Station,West
2013-08-01 00:00:00+03:00,1444.41792,6556.0,4875.0,2781.0,32.0,282.0,2.5,69.2,1000.9,King Abdullah University of Science and Technology Station,West
2013-08-01 00:00:00+03:00,1434.2832,6510.0,4772.0,2764.0,34.2,299.0,3.2,53.0,996.8,King Abdulaziz University Main Campus Station,West
2013-09-01 00:00:00+03:00,1449.48528,6579.0,6512.0,1984.0,30.9,322.0,3.6,64.0,1006.0,Saline Water Conversion Corporation (Umluj) Station,West
2013-09-01 00:00:00+03:00,1335.1391999999998,6060.0,4628.0,2590.0,33.4,310.0,3.3,58.9,998.4,King Abdulaziz University Main Campus Station,West
2013-09-01 00:00:00+03:00,1348.57872,6121.0,3844.0,3088.0,32.1,269.0,2.8,72.9,1004.2,Al Qunfudhah Technical Institute Station,West
2013-09-01 00:00:00+03:00,1345.93488,6109.0,4684.0,2596.0,31.1,308.0,2.4,75.1,1002.6,King Abdullah University of Science and Technology Station,West
2013-10-01 00:00:00+03:00,1245.2486399999998,5652.0,4779.0,2341.0,30.4,225.0,2.6,71.8,1008.2,Al Qunfudhah Technical Institute Station,West
2013-10-01 00:00:00+03:00,1198.32048,5439.0,5144.0,1995.0,29.2,310.0,2.1,75.2,1006.5,King Abdullah University of Science and Technology Station,West
2013-10-01 00:00:00+03:00,1222.55568,5549.0,5202.0,2068.0,30.3,351.0,2.6,61.1,996.2,King Abdulaziz University (Osfan Campus) Station,West
2013-10-01 00:00:00+03:00,1180.47456,5358.0,4904.0,2047.0,31.5,308.0,2.5,62.6,1002.3,King Abdulaziz University Main Campus Station,West
2013-10-01 00:00:00+03:00,1237.31712,5616.0,6700.0,1424.0,28.3,323.0,3.1,61.3,1009.4,Saline Water Conversion Corporation (Umluj) Station,West
2013-11-01 00:00:00+03:00,1038.8088,4715.0,4799.0,1792.0,29.2,277.0,2.3,71.6,1009.2,Al Qunfudhah Technical Institute Station,West
2013-11-01 00:00:00+03:00,1047.18096,4753.0,5886.0,1375.0,27.9,340.0,2.2,57.3,1008.0,King Abdullah University of Science and Technology Station,West
2013-11-01 00:00:00+03:00,1051.14672,4771.0,5757.0,1455.0,28.5,18.0,2.9,51.4,997.8,King Abdulaziz University (Osfan Campus) Station,West
2013-11-01 00:00:00+03:00,1019.20032,4626.0,6440.0,1145.0,26.6,337.0,2.7,54.4,1011.1,Saline Water Conversion Corporation (Umluj) Station,West
2013-11-01 00:00:00+03:00,1028.01312,4666.0,5334.0,1537.0,29.7,315.0,2.5,56.5,1003.7,King Abdulaziz University Main Campus Station,West
2013-12-01 00:00:00+03:00,921.59856,4183.0,4548.0,1660.0,26.2,333.0,3.1,56.1,1007.5,King Abdulaziz University Main Campus Station,West
2013-12-01 00:00:00+03:00,958.61232,4351.0,5413.0,1417.0,24.6,11.0,2.4,54.6,1011.9,King Abdullah University of Science and Technology Station,West
2013-12-01 00:00:00+03:00,903.97296,4103.0,5884.0,1148.0,23.2,352.0,3.4,46.7,1015.3,Saline Water Conversion Corporation (Umluj) Station,West
2013-12-01 00:00:00+03:00,940.7664,4270.0,4413.0,1745.0,26.7,271.0,2.5,71.5,1012.4,Al Qunfudhah Technical Institute Station,West
2013-12-01 00:00:00+03:00,944.0712,4285.0,5025.0,1550.0,24.8,34.0,3.5,51.0,1001.4,King Abdulaziz University (Osfan Campus) Station,West
2014-01-01 00:00:00+03:00,976.67856,4433.0,6137.0,1215.0,22.5,343.0,3.1,50.7,1014.4,Saline Water Conversion Corporation (Umluj) Station,West
2014-01-01 00:00:00+03:00,906.17616,4113.0,4137.0,1816.0,24.7,27.0,3.2,54.9,1000.5,King Abdulaziz University (Osfan Campus) Station,West
2014-01-01 00:00:00+03:00,906.17616,4113.0,4080.0,1818.0,26.0,332.0,2.8,58.9,1006.6,King Abdulaziz University Main Campus Station,West
2014-01-01 00:00:00+03:00,912.34512,4141.0,4318.0,1755.0,24.4,354.0,2.2,61.9,1011.1,King Abdullah University of Science and Technology Station,West
2014-01-01 00:00:00+03:00,970.72992,4406.0,3664.0,2192.0,26.4,275.0,2.3,75.7,1012.0,Al Qunfudhah Technical Institute Station,West
2014-02-01 00:00:00+03:00,1177.16976,5343.0,5479.0,1889.0,24.9,357.0,2.4,58.2,1009.4,King Abdullah University of Science and Technology Station,West
2014-02-01 00:00:00+03:00,1211.0990399999998,5497.0,6969.0,1367.0,23.2,333.0,3.6,50.9,1012.7,Saline Water Conversion Corporation (Umluj) Station,West
2014-02-01 00:00:00+03:00,1189.9483199999995,5401.0,4883.0,2145.0,26.4,216.0,2.4,72.3,1010.1,Al Qunfudhah Technical Institute Station,West
2014-02-01 00:00:00+03:00,1188.18576,5393.0,5428.0,1986.0,25.3,33.0,3.6,51.8,998.9,King Abdulaziz University (Osfan Campus) Station,West
2014-02-01 00:00:00+03:00,1178.49168,5349.0,5219.0,2023.0,26.3,321.0,3.0,57.8,1005.0,King Abdulaziz University Main Campus Station,West
2014-03-01 00:00:00+03:00,1378.9828799999998,6259.0,5670.0,2267.0,27.9,330.0,3.5,55.7,1003.6,King Abdulaziz University Main Campus Station,West
2014-03-01 00:00:00+03:00,1349.9006399999998,6127.0,5667.0,2208.0,24.8,317.0,3.1,54.9,1010.8,Saline Water Conversion Corporation (Umluj) Station,West
2014-03-01 00:00:00+03:00,1373.25456,6233.0,5337.0,2374.0,27.4,253.0,2.7,70.9,1009.1,Al Qunfudhah Technical Institute Station,West
2014-03-01 00:00:00+03:00,1337.56272,6071.0,5209.0,2396.0,25.5,308.0,2.6,67.9,1008.0,King Abdullah University of Science and Technology Station,West
2014-03-01 00:00:00+03:00,1373.25456,6233.0,5493.0,2391.0,27.0,346.0,3.4,52.2,997.6,King Abdulaziz University (Osfan Campus) Station,West
2014-04-01 00:00:00+03:00,1462.04352,6636.0,5532.0,2539.0,27.8,309.0,3.0,58.3,1009.2,Saline Water Conversion Corporation (Umluj) Station,West
2014-04-01 00:00:00+03:00,1414.67472,6421.0,4544.0,2944.0,31.5,332.0,3.5,49.3,1002.1,King Abdulaziz University Main Campus Station,West
2014-04-01 00:00:00+03:00,1477.46592,6706.0,5047.0,2792.0,30.3,262.0,2.5,65.1,1007.5,Al Qunfudhah Technical Institute Station,West
2014-04-01 00:00:00+03:00,1417.7592,6435.0,4776.0,2808.0,28.3,303.0,2.7,66.9,1006.4,King Abdullah University of Science and Technology Station,West
2014-04-01 00:00:00+03:00,1382.9486399999998,6277.0,4370.0,2963.0,30.7,336.0,3.4,45.8,996.1,King Abdulaziz University (Osfan Campus) Station,West
2014-05-01 00:00:00+03:00,1578.5928,7165.0,6076.0,2585.0,29.4,316.0,3.3,56.7,1007.8,Saline Water Conversion Corporation (Umluj) Station,West
2014-05-01 00:00:00+03:00,1575.06768,7149.0,5736.0,2751.0,31.3,355.0,3.3,47.8,994.6,King Abdulaziz University (Osfan Campus) Station,West
2014-05-01 00:00:00+03:00,1570.44096,7128.0,5622.0,2820.0,28.9,305.0,2.6,71.4,1005.0,King Abdullah University of Science and Technology Station,West
2014-05-01 00:00:00+03:00,1522.4112,6910.0,5333.0,2727.0,31.1,258.0,2.9,68.7,1005.8,Al Qunfudhah Technical Institute Station,West
2014-05-01 00:00:00+03:00,1577.05056,7158.0,5740.0,2758.0,32.0,332.0,4.0,51.3,1000.5,King Abdulaziz University Main Campus Station,West
2014-06-01 00:00:00+03:00,1499.71824,6807.0,4050.0,3508.0,32.2,228.0,3.1,69.6,1002.7,Al Qunfudhah Technical Institute Station,West
2014-06-01 00:00:00+03:00,1654.38288,7509.0,6143.0,2748.0,30.2,304.0,2.7,73.3,1002.1,King Abdullah University of Science and Technology Station,West
2014-06-01 00:00:00+03:00,1635.4353600000002,7423.0,5974.0,2789.0,32.9,358.0,3.5,48.0,991.9,King Abdulaziz University (Osfan Campus) Station,West
2014-06-01 00:00:00+03:00,1719.15696,7803.0,7431.0,2233.0,31.1,317.0,3.5,57.8,1005.3,Saline Water Conversion Corporation (Umluj) Station,West
2014-06-01 00:00:00+03:00,1629.70704,7397.0,5845.0,2862.0,33.7,336.0,4.8,50.9,997.7,King Abdulaziz University Main Campus Station,West
2014-07-01 00:00:00+03:00,1576.83024,7157.0,5554.0,2816.0,35.5,332.0,4.1,45.3,997.7,King Abdulaziz University Main Campus Station,West
2014-07-01 00:00:00+03:00,1612.5220800000002,7319.0,6230.0,2499.0,31.6,300.0,2.6,71.0,1002.2,King Abdullah University of Science and Technology Station,West
2014-07-01 00:00:00+03:00,1422.60624,6457.0,3504.0,3540.0,32.8,57.0,4.0,63.2,1002.7,Al Qunfudhah Technical Institute Station,West
2014-07-01 00:00:00+03:00,1592.9136,7230.0,5859.0,2674.0,34.3,355.0,3.1,44.6,992.0,King Abdulaziz University (Osfan Campus) Station,West
2014-07-01 00:00:00+03:00,1700.20944,7717.0,8153.0,1703.0,31.8,301.0,3.0,64.8,1004.7,Saline Water Conversion Corporation (Umluj) Station,West
2014-08-01 00:00:00+03:00,1548.4089599999998,7028.0,6618.0,2111.0,32.8,312.0,3.2,60.7,1004.1,Saline Water Conversion Corporation (Umluj) Station,West
2014-08-01 00:00:00+03:00,1507.87008,6844.0,5531.0,2589.0,34.4,339.0,3.1,50.6,990.9,King Abdulaziz University (Osfan Campus) Station,West
2014-08-01 00:00:00+03:00,1511.1748799999998,6859.0,5654.0,2500.0,32.1,287.0,2.6,73.4,1001.1,King Abdullah University of Science and Technology Station,West
2014-08-01 00:00:00+03:00,1509.85296,6853.0,5507.0,2584.0,35.3,328.0,4.1,52.9,996.9,King Abdulaziz University Main Campus Station,West
2014-08-01 00:00:00+03:00,1385.37216,6288.0,3303.0,3538.0,33.0,104.0,3.8,70.2,1002.2,Al Qunfudhah Technical Institute Station,West
